prompt_name,pair_id,true_category,true_score,predicted_category,predicted_score,format_is_correct,error_message,raw_response
P-01_zero_shot,3902322961-cand_3645,🟠 MAYBE,59.5,,,False,500 An internal error has occurred. Please retry or report in https://developers.generativeai.google/guide/troubleshooting,
P-01_zero_shot,3888939035-cand_4295,🔴 WEAK NO,39.5,⚫ STRONG NO,14.5,True,,"```json
{
  ""category"": ""⚫ STRONG NO"",
  ""score"": 14.5,
  ""justification"": {
    ""positive_points"": [],
    ""negative_points"": [
      ""The candidate's experience is in Trade Marketing and Brand Management, which is entirely unrelated to the core requirements of an Architectural Project Lead."",
      ""The CV lists skills like 'Brand Visibility', 'Sales Targets', 'Field Marketing', 'Campaigns', and 'Product Distribution', none of which align with architectural design, construction documentation, or administration."",
      ""There is no mention of architectural degrees, NCARB, AutoCAD, Revit, or any experience in housing/multi-family projects or construction documentation/administration."",
      ""The candidate's listed skills ('Excel', 'KPIs Tracking') are too generic and do not demonstrate the specialized technical skills required for the role.""
    ],
    ""final_summary"": ""The candidate's background in trade marketing and brand management is completely misaligned with the technical and architectural requirements of the Project Lead position, making them an unsuitable candidate.""
  }
}
```"
P-01_zero_shot,3901963567-cand_2931,🟠 MAYBE,59.5,⚫ STRONG NO,14.5,True,,"```json
{
  ""category"": ""⚫ STRONG NO"",
  ""score"": 14.5,
  ""justification"": {
    ""positive_points"": [],
    ""negative_points"": [
      ""The candidate's resume lists extensive full-stack development skills (ReactJS, NextJS, Python, Django, AWS, Docker, etc.), which are completely irrelevant to the Valet Parking Attendant role."",
      ""There is no mention of customer service experience, physical capabilities, or a driver's license, all of which are critical requirements for the position.""
    ],
    ""final_summary"": ""The candidate's technical background is entirely misaligned with the requirements of a Valet Parking Attendant, indicating a complete lack of fit for the role.""
  }
}
```"
P-01_zero_shot,3904057270-cand_3252,🟠 MAYBE,59.5,⚫ STRONG NO,14.5,True,,"```json
{
  ""category"": ""⚫ STRONG NO"",
  ""score"": 14.5,
  ""justification"": {
    ""positive_points"": [],
    ""negative_points"": [
      ""The candidate's CV lists technical skills related to iOS development, which are completely irrelevant to the job posting."",
      ""The job posting requires physical abilities like lifting 50 pounds and standing/walking most of the day, which are not addressed in the CV."",
      ""The job posting focuses on customer service, food preparation, and team building in a travel center environment, none of which are reflected in the candidate's skills.""
    ],
    ""final_summary"": ""The candidate's skills and experience are entirely misaligned with the requirements of the job posting, indicating no relevant qualifications for the role.""
  }
}
```"
P-01_zero_shot,3899522876-cand_2325,⚫ STRONG NO,14.5,⚫ STRONG NO,14.5,True,,"```json
{
  ""category"": ""⚫ STRONG NO"",
  ""score"": 14.5,
  ""justification"": {
    ""positive_points"": [],
    ""negative_points"": [
      ""The candidate's resume focuses entirely on data platform design, data pipeline development, ETL, SQL, and data integration, with no mention of interior design, hospitality, or architectural software."",
      ""The job posting explicitly requires experience in interior design, specifically hospitality and multi-unit residential design, and proficiency in Revit."",
      ""There is a complete mismatch between the candidate's stated skills and the core requirements of the Interior Designer role.""
    ],
    ""final_summary"": ""The candidate's resume demonstrates expertise in data engineering and has no overlap with the required skills and experience for an Interior Designer role in hospitality.""
  }
}
```"
P-01_zero_shot,3904412439-cand_2506,🟢 STRONG YES,92.5,⚫ STRONG NO,14.5,True,,"```json
{
  ""category"": ""⚫ STRONG NO"",
  ""score"": 14.5,
  ""justification"": {
    ""positive_points"": [],
    ""negative_points"": [
      ""The CV lists only basic accounting/verification tasks, not audit experience."",
      ""There is no mention of audit experience, client interaction, team supervision, or CPA license."",
      ""The CV does not indicate any experience with commercial entities, not-for-profits, or investment entities."",
      ""The CV lacks any indication of experience in public accounting or a management role."",
      ""The CV does not demonstrate the required 5+ years of relevant audit experience.""
    ],
    ""final_summary"": ""The candidate's CV shows no relevant experience for an audit manager role at a public accounting firm, lacking any mention of audit, CPA, or management responsibilities.""
  }
}
```"
P-01_zero_shot,3904967778-cand_711,🔴 WEAK NO,39.5,⚫ STRONG NO,14.5,True,,"```json
{
  ""category"": ""⚫ STRONG NO"",
  ""score"": 14.5,
  ""justification"": {
    ""positive_points"": [],
    ""negative_points"": [
      ""The candidate's CV lists technical skills related to application development and software engineering, which are entirely irrelevant to the Showroom & Product Development Coordinator role."",
      ""There is no mention of experience in home design, sales support, product development, or showroom operations."",
      ""The candidate's skills do not align with the core requirements of passion for home design, attention to detail, and organization for a showroom environment.""
    ],
    ""final_summary"": ""The candidate's technical background in software development is completely misaligned with the requirements of a Showroom & Product Development Coordinator role in the home design industry.""
  }
}
```"
P-01_zero_shot,3904383507-cand_3606,🟠 MAYBE,59.5,⚫ STRONG NO,14.5,True,,"```json
{
  ""category"": ""⚫ STRONG NO"",
  ""score"": 14.5,
  ""justification"": {
    ""positive_points"": [],
    ""negative_points"": [
      ""The candidate's resume focuses entirely on database design, development, and SQL Server administration."",
      ""There is no mention of quality assurance, lab testing, particleboard, manufacturing processes, or any related scientific or technical skills."",
      ""The candidate's experience does not align with any of the core responsibilities or requirements of the QA Lab Technician role, such as performing tests, analyzing results, or communicating with production departments.""
    ],
    ""final_summary"": ""The candidate's skills and experience are completely unrelated to the requirements of the QA Lab Technician position, making them a strong no.""
  }
}
```"
P-01_zero_shot,3884895539-cand_5997,🟠 MAYBE,59.5,,,False,500 An internal error has occurred. Please retry or report in https://developers.generativeai.google/guide/troubleshooting,
P-01_zero_shot,3903887764-cand_7314,🔴 WEAK NO,39.5,⚫ STRONG NO,14.5,True,,"```json
{
  ""category"": ""⚫ STRONG NO"",
  ""score"": 14.5,
  ""justification"": {
    ""positive_points"": [],
    ""negative_points"": [
      ""The CV lists general IT support skills, which do not align with the highly specialized technical leadership and management requirements of the job posting."",
      ""The job posting requires significant experience in managing technical workforces (electronics and mechanical), performance management, succession planning, and safety officer duties, none of which are reflected in the provided CV."",
      ""The CV lacks any mention of engineering degrees, advanced technical experience in electronics/mechanical fields, or experience with DOE security clearances, all of which are critical qualifications for this role.""
    ],
    ""final_summary"": ""The candidate's CV demonstrates a profile focused on general IT support and system administration, completely lacking the specialized engineering leadership, workforce management, and security clearance experience required for this Division Superintendent/Section Leader role at Lawrence Livermore National Laboratory.""
  }
}
```"
